未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
 122  また、木の葉の色づく頃に                                   140,126,108  約1億4012万P       志歩      混合        マラソン    
 123  このひと針に想いを込めて                                   139,126,127  約1億3912万P       雫       混合        マラソン    
 124  ドタバタ cafe●REC!!                                137,373,731  約1億3737万P       愛莉      混合        チアフル    
 125  Bout for Beside You                            137,315,726  約1億3731万P       杏       ビビバス      マラソン    
 126  最高のクランクアップ！                                    137,201,227  約1億3720万P       寧々      混合        チアフル    
 127  隣に立つ、優しいあなたへ                                   135,991,027  約1億3599万P       穂波      混合        チアフル    
 128  close game/OFFLINE                             135,251,112  約1億3525万P       寧々      混合        チアフル    
 129  青空に願うユア・ハピネス!                                  132,726,827  約1億3272万P       杏       混合        チアフル    
 130  あっちこっち飼育員体験！                                   131,120,414  約1億3112万P       みのり     混合        マラソン    
 131  祈りの先 願う明日は                                     130,201,005  約1億3020万P       遥       混合        チアフル    
 132  キャンドルの香りは思い出と共に                                128,888,888  約1億2888万P       一歌      混合        チアフル    
 133  Knock the Future!                              126,004,444  約1億2600万P       一歌      レオニ       マラソン    
 134  あの日、空は遠かった                                     125,000,108  約1億2500万P       志歩      レオニ       マラソン    
 135  夏祭り、鳴り響く音は                                     123,761,112  約1億2376万P       彰人      混合        マラソン    
 136  Let's study hard!                              123,624,827  約1億2362万P       杏       混合        マラソン    
 137  MORE MORE Making Xmas                          123,567,414  約1億2356万P       みのり     モモジャン     マラソン    
 138  The Vivid Old Tale                             123,456,726  約1億2345万P       杏       ビビバス      マラソン    
 139  船出の前のワンデイトリップ                                  122,701,005  約1億2270万P       遥       混合        マラソン    
 140  perspective for smile                          122,700,517  約1億2270万P       えむ      ワンダショ     マラソン    
 141  みんなで配信♡WEDDING LIVE！                           120,087,310  約1億2008万P       みのり     混合        チアフル    
 142  スクランブル・ファンフェスタ!                                118,858,423  約1億1885万P       みのり     混合        チアフル    
 143  Connect hearts message                         115,319,509  約1億1531万P       咲希      混合        マラソン    
 144  Aweakening Beat                                114,860,369  約1億1486万P       こはね     ビビバス      マラソン    
 145  好きを描いて♪レインボーキャンバス                              111,200,430  約1億1120万P       絵名      混合        マラソン    
 146  カーネーション・リコレクション                                111,123,673  約1億1112万P       奏       ニーゴ       マラソン    
 147  交わる旋律 灯るぬくもり                                   110,785,752  約1億1078万P       まふゆ     混合        チアフル    
 148  君と紡ぐPrecious memories                          110,517,509  約1億1051万P       咲希      混合        マラソン    
 149  Live with memories                             110,500,811  約1億1050万P       一歌      レオニ       マラソン    
 150  鍛えてFLY！Muscle Training！                        110,051,054  約1億1005万P       遥       混合        マラソン    
 151  灯のミラージュ                                        110,001,227  約1億1000万P       まふゆ     ニーゴ       マラソン    
 152  POP IN MY HEART!!                              110,000,000  約1億1000万P       えむ      ワンダショ     マラソン    
 153  Legend still vivid                             107,830,302  約1億783万P        こはね     ビビバス      マラソン    
 154  マーメイドにあこがれて                                    107,203,232  約1億720万P        寧々      ワンダショ     マラソン    
 155  弓引け、白の世界で                                      107,120,215  約1億712万P        雫       混合        マラソン    
 156  Cast Spell on You                              101,864,412  約1億186万P        雫       モモジャン     マラソン    
 157  秘密のバレンタイン大作戦!                                  100,210,319  約1億21万P         愛莉      混合        チアフル    
 158  STRAY BAD DOG                                  100,161,151  約1億16万P         彰人      ビビバス      チアフル    
 159  バディ・ファニー・スペンドタイム!                               96,868,686  約9686万P         こはね     混合        マラソン    
 160  ハッピー・ラブリー・エブリデイ!                                95,030,233  約9503万P         愛莉      モモジャン     マラソン    
 161  ワンダーマジカルショウタイム!                                 94,920,517  約9492万P         司       ワンダショ     マラソン    
 162  満たされないペイルカラー                                    92,500,000  約9250万P         絵名      ニーゴ       マラソン    
 163  ふたり、月うさぎ                                        91,206,108  約9120万P         雫       混合        チアフル    
 164  Unnamed Harmony                                 91,006,414  約9100万P         咲希      レオニ       チアフル    
 165  シークレット・ディスタンス                                   90,020,393  約9002万P         瑞希      ニーゴ       マラソン    
 166  きっと最高のsummer!                                   88,836,650  約8883万P         穂波      混合        チアフル    
 167  聖なる夜に、この歌声を                                     87,654,321  約8765万P         寧々      ワンダショ     マラソン    
 168  揺るがぬ想い、今言葉にして                                   87,000,000  約8700万P         穂波      レオニ       マラソン    
 169  スマイルオブドリーマー                                     85,000,000  約8500万P         えむ      ワンダショ     マラソン    
 170  Period of NOCTURNE                              81,080,525  約8108万P         冬弥      ビビバス      マラソン    
 171  天馬さんちのひな祭り                                      78,091,725  約7809万P         咲希      混合        マラソン    
 172  セカイのハッピーニューイヤー!                                 77,777,777  約7777万P         ビビミク    混合        マラソン    
 173  純白の貴方へ、誓いの歌を!                                   77,624,525  約7762万P         冬弥      混合        チアフル    
 174  届け!HOPEFUL STAGE♪                               77,105,105  約7710万P         みのり     モモジャン     マラソン    
 175  揺れるまま、でも君は前へ                                    73,331,027  約7333万P         穂波      レオニ       マラソン    
 176  お悩み聞かせて!わくわくピクニック!                              70,000,430  約7000万P         絵名      混合        マラソン    
 177  いつか、背中合わせのリリックを                                 68,808,317  約6880万P         杏       ビビバス      マラソン    
 178  KAMIKOU FESTIVAL!                               63,909,461  約6390万P         瑞希      混合        マラソン    
 179  Resonate with you                               63,181,818  約6318万P         志歩      レオニ       マラソン    
 180  ここからRE:START!                                   62,000,000  約6200万P         愛莉      モモジャン     マラソン    
 181  雨上がりの一番星                                        61,176,026  約6117万P         咲希      レオニ       マラソン    
 182  頑張るあなたにBreak Time!                              59,595,959  約5959万P         遥       モモジャン     マラソン    
